"lumped_element_capacitance [pF]","Freq [GHz]","ang_deg(S(1,1)) [deg]"
0.065,10.04,92.3353793209976
0.065,10.05,92.3178996394157
0.065,10.06,92.2965224996492
0.065,10.07,92.2711056096916
0.065,10.08,92.2414964501033
0.065,10.09,92.2075314809828
0.065,10.1,92.169035269828
0.065,10.11,92.1258195312045
0.065,10.12,92.0776820679297
0.065,10.13,92.0244056020831
0.065,10.14,91.9657564825415
0.065,10.15,91.9014832538801
0.065,10.16,91.8313150693202
0.065,10.17,91.7549599279
0.065,10.18,91.672102713131
0.065,10.19,91.582403007002
0.065,10.2,91.4854926492115
0.065,10.21,91.3809730068518
0.065,10.22,91.2684119142787
0.065,10.23,91.1473402364496
0.065,10.24,91.0172480013691
0.065,10.25,90.877580038241
0.065,10.26,90.7277310471739
0.065,10.27,90.5670400134714
0.065,10.28,90.3947838642323
0.065,10.29,90.2101702466173
0.065,10.3,90.0123292850665
0.065,10.31,89.8003041481127
0.065,10.32,89.5730402232105
0.065,10.33,89.3293726588652
0.065,10.34,89.0680119856989
0.065,10.35,88.7875274698641
0.065,10.36,88.486327780854
0.065,10.37,88.1626384680224
0.065,10.38,87.8144756319277
0.065,10.39,87.4396150428173
0.065,10.4,87.0355557926599
0.065,10.41,86.599477360988
0.065,10.42,86.1281887181671
0.065,10.43,85.618067769914
0.065,10.44,85.0649890483096
0.065,10.45,84.464237058491
0.065,10.46,83.8104020747318
0.065,10.47,83.0972544207627
0.065,10.48,82.3175923432171
0.065,10.49,81.4630574767781
0.065,10.5,80.5239106063925
0.065,10.51,79.4887590004192
0.065,10.52,78.3442251530334
0.065,10.53,77.0745456452941
0.065,10.54,75.6610886572614
0.065,10.55,74.0817807021824
0.065,10.56,72.3104397844862
0.065,10.57,70.3160277256084
0.065,10.58,68.0618664229816
0.065,10.59,65.5049239334523
0.065,10.6,62.5953859969791
0.065,10.61,59.276912934282
0.065,10.62,55.4882643106767
0.065,10.63,51.1673432054549
0.065,10.64,46.2590425585554
0.065,10.65,40.7281871150387
0.065,10.66,34.5776096462561
0.065,10.67,27.8681543210866
0.065,10.68,20.7325325701894
0.065,10.69,13.3719179252369
0.065,10.7,6.02868740345093
0.065,10.71,-1.05809830426836
0.065,10.72,-7.69575119648378
0.065,10.73,-13.7619170669461
0.065,10.74,-19.204956649227
0.065,10.75,-24.0285756512323
0.065,10.76,-28.2717210471687
0.065,10.77,-31.9911283774736
0.065,10.78,-35.2491419275022
0.065,10.79,-38.1064884110908
0.065,10.8,-40.6186488290823
0.065,10.81,-42.8344794592562
0.065,10.82,-44.7960843310417
0.065,10.83,-46.539302519843
0.065,10.84,-48.0944416281894
0.065,10.85,-49.4870610376765
0.065,10.86,-50.7387099908961
0.065,10.87,-51.8675816145388
0.065,10.88,-52.8890730881038
0.065,10.89,-53.8162560941828
0.065,10.9,-54.660267470513
0.065,10.91,-55.4306316020345
0.065,10.92,-56.1355257231797
0.065,10.93,-56.781998099892
0.065,10.94,-57.3761476125287
0.065,10.95,-57.9232718432856
0.065,10.96,-58.4279895028436
0.065,10.97,-58.8943419469269
0.065,10.98,-59.3258776321773
0.065,10.99,-59.725722623394
0.065,11,-60.0966396668649
0.065,11.01,-60.4410778633067
0.065,11.02,-60.7612145874584
0.065,11.03,-61.0589909912436
0.065,11.04,-61.3361421785724
0.065,11.05,-61.5942229398606
0.065,11.06,-61.8346297733997
0.065,11.07,-62.0586197908274
0.065,11.08,-62.2673269988985
0.065,11.09,-62.4617763645265
0.065,11.1,-62.6428960007065
0.065,11.11,-62.8115277543329
0.065,11.12,-62.9684364305504
0.065,11.13,-63.1143178502117
0.065,11.14,-63.2498059056131
0.065,11.15,-63.3754787537407
0.065,11.16,-63.4918642647285
0.065,11.17,-63.5994448253232
0.065,11.18,-63.6986615822
0.065,11.19,-63.7899181974603
0.065,11.2,-63.8735841781367
0.065,11.21,-63.9499978326706
0.065,11.22,-64.019468899856
0.065,11.23,-64.0822808894128
0.065,11.24,-64.1386931679572
0.065,11.25,-64.1889428195613
0.065,11.26,-64.2332463061701
0.065,11.27,-64.2718009497804
0.065,11.28,-64.3047862554016
0.065,11.29,-64.3323650913224
0.065,11.3,-64.3546847410545
0.065,11.31,-64.3718778394482
0.065,11.32,-64.3840632038507
0.065,11.33,-64.391346569739
0.065,11.34,-64.3938212390178
0.065,11.35,-64.3915686480538
0.065,11.36,-64.3846588615435
0.065,11.37,-64.3731509974229
0.065,11.38,-64.357093587251
0.065,11.39,-64.3365248757598
0.065,11.4,-64.311473062634
0.065,11.41,-64.28195648895
0.065,11.42,-64.2479837701533
0.065,11.43,-64.2095538769079
0.065,11.44,-64.1666561646301
0.065,11.45,-64.1192703520268
0.065,11.46,-64.0673664484402
0.065,11.47,-64.0109046293198
0.065,11.48,-63.9498350586111
0.065,11.49,-63.8840976563336
0.065,11.5,-63.8136218090539
0.065,11.51,-63.7383260203717
0.065,11.52,-63.6581174978925
0.065,11.53,-63.5728916724686
0.065,11.54,-63.4825316447248
0.065,11.55,-63.3869075530346
0.065,11.56,-63.2858758561697
0.065,11.57,-63.1792785227856
0.065,11.58,-63.0669421186956
0.065,11.59,-62.9486767815379
0.065,11.6,-62.8242750708713
0.065,11.61,-62.6935106799628
0.065,11.62,-62.5561369934824
0.065,11.63,-62.4118854729593
0.065,11.64,-62.2604638491204
0.065,11.65,-62.1015540970698
0.065,11.66,-61.9348101665588
0.065,11.67,-61.7598554353109
0.065,11.68,-61.5762798482912
0.065,11.69,-61.383636699906
0.065,11.7,-61.1814390091169
0.065,11.71,-60.9691554292285
0.065,11.72,-60.7462056243249
0.065,11.73,-60.511955032744
0.065,11.74,-60.2657089241485
0.065,11.75,-60.0067056402519
0.065,11.76,-59.7341088894536
0.065,11.77,-59.4469989418684
0.065,11.78,-59.1443625425407
0.065,11.79,-58.8250813259627
0.065,11.8,-58.487918472938
0.065,11.81,-58.1315032996451
0.065,11.82,-57.7543134062913
0.065,11.83,-57.3546539362843
0.065,11.84,-56.9306334030373
0.065,11.85,-56.4801354260458
0.065,11.86,-56.0007855754971
0.065,11.87,-55.4899123486871
0.065,11.88,-54.9445010837365
0.065,11.89,-54.3611393463633
0.065,11.9,-53.7359519914396
0.065,11.91,-53.0645236881327
0.065,11.92,-52.3418061886825
0.065,11.93,-51.562006998158
0.065,11.94,-50.7184553483894
0.065,11.95,-49.8034404817769
0.065,11.96,-48.8080162129552
0.065,11.97,-47.7217645947914
0.065,11.98,-46.5325103740215
0.065,11.99,-45.2259770154018
0.065,12,-43.7853748788232
0.07375,8,-61.2642971439679
0.07375,8.01,-60.8333317861871
0.07375,8.02,-60.3892637493308
0.07375,8.03,-59.9314768359509
0.07375,8.04,-59.4593180906349
0.07375,8.05,-58.9720953679841
0.07375,8.06,-58.4690747437029
0.07375,8.07,-57.9494777630742
0.07375,8.08,-57.4124785222527
0.07375,8.09,-56.8572005794362
0.07375,8.1,-56.2827136952032
0.07375,8.11,-55.6880304042648
0.07375,8.12,-55.0721024247649
0.07375,8.13,-54.4338169163021
0.07375,8.14,-53.7719926042763
0.07375,8.15,-53.0853757963409
0.07375,8.16,-52.3726363270018
0.07375,8.17,-51.6323634792413
0.07375,8.18,-50.8630619479317
0.07375,8.19,-50.0631479293762
0.07375,8.2,-49.2309454452425
0.07375,8.21,-48.364683038183
0.07375,8.22,-47.4624910114116
0.07375,8.23,-46.5223994262258
0.07375,8.24,-45.5423371208196
0.07375,8.25,-44.5201320713582
0.07375,8.26,-43.4535134827372
0.07375,8.27,-42.3401160717356
0.07375,8.28,-41.1774870888075
0.07375,8.29,-39.9630967148904
0.07375,8.3,-38.6943525632187
0.07375,8.31,-37.3686191080618
0.07375,8.32,-35.9832429446287
0.07375,8.33,-34.5355848457696
0.07375,8.34,-33.0230596059111
0.07375,8.35,-31.4431846305147
0.07375,8.36,-29.7936381148213
0.07375,8.37,-28.0723274288339
0.07375,8.38,-26.2774679538123
0.07375,8.39,-24.4076720671236
0.07375,8.4,-22.4620472218154
0.07375,8.41,-20.4403011043063
0.07375,8.42,-18.3428506933292
0.07375,8.43,-16.1709307386931
0.07375,8.44,-13.9266958314367
0.07375,8.45,-11.6133090045311
0.07375,8.46,-9.23500889429571
0.07375,8.47,-6.79714714921978
0.07375,8.48,-4.30618823416571
0.07375,8.49,-1.76966522687628
0.07375,8.5,0.803912294711597
0.07375,8.51,3.40519872955665
0.07375,8.52,6.02419766767354
0.07375,8.53,8.65048398623901
0.07375,8.54,11.273451201244
0.07375,8.55,13.8825697300219
0.07375,8.56,16.4676405133841
0.07375,8.57,19.0190289615857
0.07375,8.58,21.5278663355229
0.07375,8.59,23.9862090849874
0.07375,8.6,26.3871507833064
0.07375,8.61,28.7248855069414
0.07375,8.62,30.994725262001
0.07375,8.63,33.1930769693117
0.07375,8.64,35.3173863973335
0.07375,8.65,37.3660572780938
0.07375,8.66,39.3383537978793
0.07375,8.67,41.2342939452182
0.07375,8.68,43.0545400700278
0.07375,8.69,44.8002916852932
0.07375,8.7,46.4731842054883
0.07375,8.71,48.0751960881022
0.07375,8.72,49.6085657977921
0.07375,8.73,51.075719175913
0.07375,8.74,52.479207170066
0.07375,8.75,53.8216534384202
0.07375,8.76,55.1057110618684
0.07375,8.77,56.3340274407331
0.07375,8.78,57.5092163904508
0.07375,8.79,58.63383645507
0.07375,8.8,59.7103745060641
0.07375,8.81,60.7412337693632
0.07375,8.82,61.7287255126744
0.07375,8.83,62.6750637188454
0.07375,8.84,63.5823621630487
0.07375,8.85,64.4526333980543
0.07375,8.86,65.2877892306223
0.07375,8.87,66.0896423421034
0.07375,8.88,66.8599087675217
0.07375,8.89,67.600211000047
0.07375,8.9,68.312081532489
0.07375,8.91,68.9969666850682
0.07375,8.92,69.6562306000551
0.07375,8.93,70.2911593097779
0.07375,8.94,70.902964805757
0.07375,8.95,71.4927890540235
0.07375,8.96,72.061707915702
0.07375,8.97,72.6107349431713
0.07375,8.98,73.1408250311053
0.07375,8.99,73.6528779087839
0.07375,9,74.1477414656406
0.07375,9.01,74.6262149063342
0.07375,9.02,75.0890517349466
0.07375,9.03,75.5369625704121
0.07375,9.04,75.9706177971434
0.07375,9.05,76.3906500561468
0.07375,9.06,76.7976565828549
0.07375,9.07,77.1922013985073
0.07375,9.08,77.5748173622633
0.07375,9.09,77.946008091394
0.07375,9.1,78.3062497569139
0.07375,9.11,78.6559927619156
0.07375,9.12,78.9956633096883
0.07375,9.13,79.3256648684696
0.07375,9.14,79.6463795393971
0.07375,9.15,79.9581693339255
0.07375,9.16,80.261377366652
0.07375,9.17,80.556328969176
0.07375,9.18,80.8433327302843
0.07375,9.19,81.1226814674405
0.07375,9.2,81.3946531342409
0.07375,9.21,81.659511668202
0.07375,9.22,81.9175077829549
0.07375,9.23,82.1688797086454
0.07375,9.24,82.413853884085
0.07375,9.25,82.6526456039451
0.07375,9.26,82.8854596240607
0.07375,9.27,83.1124907276912
0.07375,9.28,83.3339242553845
0.07375,9.29,83.5499366008973
0.07375,9.3,83.7606956754536
0.07375,9.31,83.9663613424516
0.07375,9.32,84.1670858245825
0.07375,9.33,84.3630140851749
0.07375,9.34,84.5542841854524
0.07375,9.35,84.7410276192646
0.07375,9.36,84.9233696267378
0.07375,9.37,85.101429488186
0.07375,9.38,85.2753207995246
0.07375,9.39,85.4451517303345
0.07375,9.4,85.6110252656436
0.07375,9.41,85.7730394324088
0.07375,9.42,85.9312875116118
0.07375,9.43,86.08585823681
0.07375,9.44,86.2368359799228
0.07375,9.45,86.3843009249727
0.07375,9.46,86.5283292304458
0.07375,9.47,86.668993180882
0.07375,9.48,86.8063613282619
0.07375,9.49,86.9404986237046
0.07375,9.5,87.0714665399561
0.07375,9.51,87.1993231851009
0.07375,9.52,87.3241234078941
0.07375,9.53,87.4459188950768
0.07375,9.54,87.5647582610026
0.07375,9.55,87.680687129868
0.07375,9.56,87.7937482108134
0.07375,9.57,87.9039813661274
0.07375,9.58,88.0114236727612
0.07375,9.59,88.1161094773296
0.07375,9.6,88.2180704447529
0.07375,9.61,88.3173356006593
0.07375,9.62,88.4139313676505
0.07375,9.63,88.5078815955026
0.07375,9.64,88.5992075853464
0.07375,9.65,88.6879281078507
0.07375,9.66,88.7740594154042
0.07375,9.67,88.8576152482605
0.07375,9.68,88.9386068345926
0.07375,9.69,89.0170428843635
0.07375,9.7,89.0929295769029
0.07375,9.71,89.166270542038
0.07375,9.72,89.2370668346037
0.07375,9.73,89.3053169021153
0.07375,9.74,89.3710165453609
0.07375,9.75,89.434158871619
0.07375,9.76,89.4947342401818
0.07375,9.77,89.5527301998043
0.07375,9.78,89.6081314176663
0.07375,9.79,89.6609195993676
0.07375,9.8,89.7110733994372
0.07375,9.81,89.7585683217591
0.07375,9.82,89.8033766092612
0.07375,9.83,89.8454671221362
0.07375,9.84,89.88480520378
0.07375,9.85,89.9213525335475
0.07375,9.86,89.9550669653223
0.07375,9.87,89.9859023507889
0.07375,9.88,90.0138083461746
0.07375,9.89,90.0387302010905
0.07375,9.9,90.0606085279519
0.07375,9.91,90.079379050286
0.07375,9.92,90.094972328052
0.07375,9.93,90.107313457881
0.07375,9.94,90.116321745908
0.07375,9.95,90.1219103506036
0.07375,9.96,90.1239858927116
0.07375,9.97,90.1224480290542
0.07375,9.98,90.1171889865957
0.07375,9.99,90.1080930527095
0.07375,10,90.0950360171114
0.07375,10.01,90.0778845603584
0.07375,10.02,90.0564955831803
0.07375,10.03,90.0307154701883
0.07375,10.04,90.0003792806714
0.07375,10.05,89.9653098582573
0.07375,10.06,89.9253168501164
0.07375,10.07,89.8801956251493
0.07375,10.08,89.8297260791627
0.07375,10.09,89.7736713133777
0.07375,10.1,89.7117761707069
0.07375,10.11,89.6437656120116
0.07375,10.12,89.5693429119814
0.07375,10.13,89.4881876512747
0.07375,10.14,89.3999534780573
0.07375,10.15,89.3042656079939
0.07375,10.16,89.2007180269336
0.07375,10.17,89.0888703548998
0.07375,10.18,88.9682443233399
0.07375,10.19,88.83831980973
0.07375,10.2,88.6985303643162
0.07375,10.21,88.5482581527098
0.07375,10.22,88.3868282248474
0.07375,10.23,88.2135020050743
0.07375,10.24,88.0274698791858
0.07375,10.25,87.827842731538
0.07375,10.26,87.613642257899
0.07375,10.27,87.383789846541
0.07375,10.28,87.1370937797733
0.07375,10.29,86.872234459077
0.07375,10.3,86.5877472970842
0.07375,10.31,86.2820028462405
0.07375,10.32,85.953183643769
0.07375,10.33,85.5992571413901
0.07375,10.34,85.2179439508475
0.07375,10.35,84.8066804661183
0.07375,10.36,84.3625747119549
0.07375,10.37,83.8823540058685
0.07375,10.38,83.3623026941259
0.07375,10.39,82.7981878163912
0.07375,10.4,82.1851700499828
0.07375,10.41,81.5176966624889
0.07375,10.42,80.78937243854
0.07375,10.43,79.992803622845
0.07375,10.44,79.1194088263046
0.07375,10.45,78.1591895880575
0.07375,10.46,77.1004519381782
0.07375,10.47,75.929469032022
0.07375,10.48,74.6300740968778
0.07375,10.49,73.1831732880036
0.07375,10.5,71.5661710190005
0.07375,10.51,69.7523085442637
0.07375,10.52,67.7099347361488
0.07375,10.53,65.4017642134593
0.07375,10.54,62.7842454342
0.07375,10.55,59.8072797209664
0.07375,10.56,56.4147259046043
0.07375,10.57,52.5464116649673
0.07375,10.58,48.1427241454312
0.07375,10.59,43.1531107779926
0.07375,10.6,37.5495639014796
0.07375,10.61,31.3446443228324
0.07375,10.62,24.610163932623
0.07375,10.63,17.4880917697862
0.07375,10.64,10.183366629405
0.07375,10.65,2.93418265586479
0.07375,10.66,-4.03166195138744
0.07375,10.67,-10.5359181028008
0.07375,10.68,-16.469403226002
0.07375,10.69,-21.7897117085089
0.07375,10.7,-26.5054241932568
0.07375,10.71,-30.6569542169822
0.07375,10.72,-34.3003915528539
0.07375,10.73,-37.4963932486851
0.07375,10.74,-40.3036552214651
0.07375,10.75,-42.7756668652495
0.07375,10.76,-44.9595062529657
0.07375,10.77,-46.8957680043967
0.07375,10.78,-48.6190464006251
0.07375,10.79,-50.158639334569
0.07375,10.8,-51.5392945685343
0.07375,10.81,-52.7819117851601
0.07375,10.82,-53.9041649261279
0.07375,10.83,-54.9210359111746
0.07375,10.84,-55.8452636388782
0.07375,10.85,-56.6877175293833
0.07375,10.86,-57.4577063939029
0.07375,10.87,-58.1632330981661
0.07375,10.88,-58.8112043876869
0.07375,10.89,-59.407603903895
0.07375,10.9,-59.9576351024632
0.07375,10.91,-60.4658396003753
0.07375,10.92,-60.9361954624467
0.07375,10.93,-61.3721990906135
0.07375,10.94,-61.7769336840064
0.07375,10.95,-62.1531266730158
0.07375,10.96,-62.5031980744364
0.07375,10.97,-62.8293013475559
0.07375,10.98,-63.1333580357962
0.07375,10.99,-63.4170872410509
0.07375,11,-63.6820307867339
0.07375,11.01,-63.9295747713927
0.07375,11.02,-64.1609680901875
0.07375,11.03,-64.3773384005943
0.07375,11.04,-64.5797059266967
0.07375,11.05,-64.7689954296051
0.07375,11.06,-64.9460466169302
0.07375,11.07,-65.1116232194547
0.07375,11.08,-65.2664209263189
0.07375,11.09,-65.4110743396492
0.07375,11.1,-65.5461630844001
0.07375,11.11,-65.6722171883117
0.07375,11.12,-65.7897218294738
0.07375,11.13,-65.8991215344809
0.07375,11.14,-66.0008238979681
0.07375,11.15,-66.0952028841078
0.07375,11.16,-66.1826017620079
0.07375,11.17,-66.2633357196768
0.07375,11.18,-66.3376941950368
0.07375,11.19,-66.4059429572152
0.07375,11.2,-66.468325966876
0.07375,11.21,-66.5250670405146
0.07375,11.22,-66.5763713403695
0.07375,11.23,-66.6224267087856
0.07375,11.24,-66.6634048634263
0.07375,11.25,-66.6994624676396
0.07375,11.26,-66.7307420884571
0.07375,11.27,-66.7573730531226
0.07375,11.28,-66.7794722136644
0.07375,11.29,-66.7971446278106
0.07375,11.3,-66.810484163489
0.07375,11.31,-66.8195740332048
0.07375,11.32,-66.8244872637603
0.07375,11.33,-66.8252871060333
0.07375,11.34,-66.8220273888624
0.07375,11.35,-66.8147528204859
0.07375,11.36,-66.8034992404276
0.07375,11.37,-66.7882938242155
0.07375,11.38,-66.7691552428563
0.07375,11.39,-66.7460937785394
0.07375,11.4,-66.719111397627
0.07375,11.41,-66.6882017815915
0.07375,11.42,-66.6533503161502
0.07375,11.43,-66.6145340384726
0.07375,11.44,-66.5717215419368
0.07375,11.45,-66.5248728375037
0.07375,11.46,-66.4739391703753
0.07375,11.47,-66.4188627901572
0.07375,11.48,-66.359576672288
0.07375,11.49,-66.2960041879978
0.07375,11.5,-66.2280587195237
0.07375,11.51,-66.1556432167107
0.07375,11.52,-66.0786496904768
0.07375,11.53,-65.9969586378947
0.07375,11.54,-65.9104383928274
0.07375,11.55,-65.8189443951259
0.07375,11.56,-65.7223183703801
0.07375,11.57,-65.6203874110089
0.07375,11.58,-65.5129629481379
0.07375,11.59,-65.399839602169
0.07375,11.6,-65.2807938981586
0.07375,11.61,-65.155582830076
0.07375,11.62,-65.0239422556341
0.07375,11.63,-64.8855851006357
0.07375,11.64,-64.7401993485565
0.07375,11.65,-64.5874457873524
0.07375,11.66,-64.4269554810802
0.07375,11.67,-64.2583269287779
0.07375,11.68,-64.081122866977
0.07375,11.69,-63.8948666650572
0.07375,11.7,-63.6990382541694
0.07375,11.71,-63.4930695203649
0.07375,11.72,-63.2763390805643
0.07375,11.73,-63.0481663456298
0.07375,11.74,-62.8078047575986
0.07375,11.75,-62.5544340674178
0.07375,11.76,-62.2871514945377
0.07375,11.77,-62.0049615794647
0.07375,11.78,-61.706764503616
0.07375,11.79,-61.391342606034
0.07375,11.8,-61.0573447717162
0.07375,11.81,-60.7032682990931
0.07375,11.82,-60.3274377713948
0.07375,11.83,-59.9279803543599
0.07375,11.84,-59.5027968159755
0.07375,11.85,-59.04952740631
0.07375,11.86,-58.565511538993
0.07375,11.87,-58.0477399702563
0.07375,11.88,-57.4927978638084
0.07375,11.89,-56.8967967439943
0.07375,11.9,-56.255292855699
0.07375,11.91,-55.563188842902
0.07375,11.92,-54.8146149000793
0.07375,11.93,-54.0027846098199
0.07375,11.94,-53.1198195242556
0.07375,11.95,-52.1565351534842
0.07375,11.96,-51.1021793923499
0.07375,11.97,-49.9441126084392
0.07375,11.98,-48.6674168153297
0.07375,11.99,-47.2544200044804
0.07375,12,-45.684121731389
0.0825,8,-59.1137621651048
0.0825,8.01,-58.6350155975546
0.0825,8.02,-58.1417369729375
0.0825,8.03,-57.6332662415489
0.0825,8.04,-57.108906655491
0.0825,8.05,-56.5679226649207
0.0825,8.06,-56.0095377258223
0.0825,8.07,-55.4329320251721
0.0825,8.08,-54.8372401323077
0.0825,8.09,-54.2215485889553
0.0825,8.1,-53.5848934548707
0.0825,8.11,-52.9262578315401
0.0825,8.12,-52.2445693930748
0.0825,8.13,-51.5386979615383
0.0825,8.14,-50.8074531736625
0.0825,8.15,-50.0495822975686
0.0825,8.16,-49.2637682719444
0.0825,8.17,-48.4486280564777
0.0825,8.18,-47.6027114015105
0.0825,8.19,-46.7245001671685
0.0825,8.2,-45.8124083478868
