"lumped_element_capacitance [pF]","Freq [GHz]","mag(S(2,1)) []"
0.065,8,0.999426839487272
0.065,8.01,0.999429321536042
0.065,8.02,0.999431642832131
0.065,8.03,0.999433804528753
0.065,8.04,0.999435807744704
0.065,8.05,0.999437653564257
0.065,8.06,0.999439343037063
0.065,8.07,0.999440877178084
0.065,8.08,0.99944225696748
0.065,8.09,0.999443483350552
0.065,8.1,0.999444557237653
0.065,8.11,0.999445479504118
0.065,8.12,0.999446250990184
0.065,8.13,0.999446872500935
0.065,8.14,0.999447344806218
0.065,8.15,0.999447668640581
0.065,8.16,0.999447844703196
0.065,8.17,0.999447873657791
0.065,8.18,0.999447756132583
0.065,8.19,0.999447492720189
0.065,8.2,0.999447083977557
0.065,8.21,0.999446530425885
0.065,8.22,0.99944583255053
0.065,8.23,0.999444990800917
0.065,8.24,0.999444005590443
0.065,8.25,0.999442877296382
0.065,8.26,0.999441606259766
0.065,8.27,0.999440192785269
0.065,8.28,0.999438637141098
0.065,8.29,0.999436939558841
0.065,8.3,0.99943510023334
0.065,8.31,0.999433119322532
0.065,8.32,0.999430996947293
0.065,8.33,0.999428733191265
0.065,8.34,0.999426328100664
0.065,8.35,0.999423781684106
0.065,8.36,0.999421093912369
0.065,8.37,0.999418264718195
0.065,8.38,0.999415293996035
0.065,8.39,0.999412181601822
0.065,8.4,0.999408927352678
0.065,8.41,0.999405531026641
0.065,8.42,0.999401992362371
0.065,8.43,0.999398311058827
0.065,8.44,0.999394486774923
0.065,8.45,0.999390519129187
0.065,8.46,0.999386407699371
0.065,8.47,0.999382152022056
0.065,8.48,0.999377751592244
0.065,8.49,0.999373205862899
0.065,8.5,0.999368514244496
0.065,8.51,0.999363676104521
0.065,8.52,0.99935869076696
0.065,8.53,0.999353557511754
0.065,8.54,0.999348275574231
0.065,8.55,0.999342844144508
0.065,8.56,0.999337262366858
0.065,8.57,0.999331529339059
0.065,8.58,0.999325644111693
0.065,8.59,0.999319605687434
0.065,8.6,0.999313413020273
0.065,8.61,0.999307065014738
0.065,8.62,0.999300560525058
0.065,8.63,0.999293898354288
0.065,8.64,0.999287077253404
0.065,8.65,0.999280095920351
0.065,8.66,0.999272952999045
0.065,8.67,0.999265647078339
0.065,8.68,0.99925817669093
0.065,8.69,0.999250540312237
0.065,8.7,0.9992427363592
0.065,8.71,0.999234763189061
0.065,8.72,0.999226619098061
0.065,8.73,0.99921830232011
0.065,8.74,0.999209811025365
0.065,8.75,0.999201143318774
0.065,8.76,0.999192297238558
0.065,8.77,0.999183270754601
0.065,8.78,0.999174061766804
0.065,8.79,0.999164668103344
0.065,8.8,0.999155087518877
0.065,8.81,0.999145317692652
0.065,8.82,0.999135356226552
0.065,8.83,0.999125200643058
0.065,8.84,0.999114848383105
0.065,8.85,0.999104296803871
0.065,8.86,0.999093543176467
0.065,8.87,0.99908258468353
0.065,8.88,0.999071418416695
0.065,8.89,0.999060041373996
0.065,8.9,0.999048450457125
0.065,8.91,0.999036642468604
0.065,8.92,0.999024614108799
0.065,8.93,0.999012361972865
0.065,8.94,0.998999882547496
0.065,8.95,0.998987172207586
0.065,8.96,0.998974227212729
0.065,8.97,0.998961043703575
0.065,8.98,0.998947617698016
0.065,8.99,0.998933945087238
0.065,9,0.998920021631574
0.065,9.01,0.998905842956193
0.065,9.02,0.998891404546607
0.065,9.03,0.998876701743971
0.065,9.04,0.998861729740191
0.065,9.05,0.998846483572802
0.065,9.06,0.998830958119647
0.065,9.07,0.998815148093302
0.065,9.08,0.998799048035258
0.065,9.09,0.998782652309849
0.065,9.1,0.998765955097921
0.065,9.11,0.998748950390189
0.065,9.12,0.998731631980323
0.065,9.13,0.998713993457718
0.065,9.14,0.998696028199912
0.065,9.15,0.998677729364703
0.065,9.16,0.998659089881851
0.065,9.17,0.998640102444451
0.065,9.18,0.99862075949987
0.065,9.19,0.998601053240267
0.065,9.2,0.998580975592703
0.065,9.21,0.998560518208723
0.065,9.22,0.998539672453508
0.065,9.23,0.998518429394477
0.065,9.24,0.998496779789341
0.065,9.25,0.998474714073601
0.065,9.26,0.998452222347416
0.065,9.27,0.998429294361852
0.065,9.28,0.998405919504439
0.065,9.29,0.998382086784021
0.065,9.3,0.998357784814856
0.065,9.31,0.998333001799904
0.065,9.32,0.998307725513295
