"Freq [GHz]","mag(S(1,1)) []"
8,0.00505070809215961
8.05714285714286,0.0063736658301365
8.11428571428571,0.00933175470464412
8.17142857142857,0.0128016981127184
8.22857142857143,0.0164680355479582
8.28571428571429,0.0202564359650751
8.34285714285714,0.0241499246043985
8.4,0.0281357269270594
8.45714285714286,0.0321855612425911
8.51428571428571,0.0362472415247001
8.57142857142857,0.0402409047788589
8.62857142857143,0.0440568150767108
8.68571428571429,0.0475529011975928
8.74285714285714,0.0505507399989632
8.8,0.0528289081708321
8.85714285714286,0.0541125209836896
8.91428571428571,0.0540573397773522
8.97142857142857,0.052226030754507
9.02857142857143,0.0480530876624818
9.08571428571429,0.0407948574921411
9.14285714285714,0.0294749186863207
9.2,0.0131307646492217
9.25714285714286,0.014152413018723
9.31428571428571,0.0488565344821154
9.37142857142857,0.0995766840060837
9.42857142857143,0.172271170653419
9.48571428571429,0.275166770102337
9.54285714285714,0.414173285166465
9.6,0.579075160654464
9.65714285714286,0.728452859074674
9.71428571428571,0.817660490859566
9.77142857142857,0.847459335366778
9.82857142857143,0.841273418315501
9.88571428571428,0.789180532235823
9.94285714285714,0.635685226557807
10,0.542455117444378
10.0571428571429,0.368422101150946
10.1142857142857,0.170835488936272
10.1714285714286,0.0780256387367902
10.2285714285714,0.111945849995571
10.2857142857143,0.154554707601198
10.3428571428571,0.183147497584964
10.4,0.200961906858026
10.4571428571429,0.211371114475335
10.5142857142857,0.21662287406961
10.5714285714286,0.21816739350025
10.6285714285714,0.216959720619954
10.6857142857143,0.213650275976027
10.7428571428571,0.208699229050624
10.8,0.202445521597457
10.8571428571429,0.195149252640055
10.9142857142857,0.187018179602332
10.9714285714286,0.178224533495071
11.0285714285714,0.168915798926282
11.0857142857143,0.159221674086967
11.1428571428571,0.149258599970934
11.2,0.139132759851021
11.2571428571429,0.12894215223385
11.3142857142857,0.118778153314763
11.3714285714286,0.108726865370892
11.4285714285714,0.0988704729996578
11.4857142857143,0.0892887881784046
11.5428571428571,0.0800611509734609
11.6,0.0712688555828882
11.6571428571429,0.0629982632073172
11.7142857142857,0.0553446611240535
11.7714285714286,0.0484165130004238
11.8285714285714,0.0423385370408774
11.8857142857143,0.0372493213043517
11.9428571428571,0.0332850778431726
12,0.0305404789445341
