"lumped_element_capacitance [pF]","Freq [GHz]","ang_deg(S(1,1)) [deg]"
0.065,11.12,-43.4937325788338
0.065,11.13,-43.6159271367767
0.065,11.14,-43.7277358239744
0.065,11.15,-43.8297367701816
0.065,11.16,-43.9224578184417
0.065,11.17,-44.0063813285492
0.065,11.18,-44.0819484203664
0.065,11.19,-44.1495627293194
0.065,11.2,-44.2095937359016
0.065,11.21,-44.2623797221505
0.065,11.22,-44.3082304005922
0.065,11.23,-44.3474292548113
0.065,11.24,-44.380235625422
0.065,11.25,-44.406886570627
0.065,11.26,-44.4275985266321
0.065,11.27,-44.4425687898258
0.065,11.28,-44.4519768397387
0.065,11.29,-44.455985519309
0.065,11.3,-44.4547420868257
0.065,11.31,-44.4483791520432
0.065,11.32,-44.437015507339
0.065,11.33,-44.4207568633457
0.065,11.34,-44.3996964972472
0.065,11.35,-44.3739158208142
0.065,11.36,-44.3434848742685
0.065,11.37,-44.308462751195
0.065,11.38,-44.2688979589211
0.065,11.39,-44.2248287180689
0.065,11.4,-44.1762832043317
0.065,11.41,-44.1232797349141
0.065,11.42,-44.0658269015079
0.065,11.43,-44.0039236511394
0.065,11.44,-43.9375593157049
0.065,11.45,-43.8667135905066
0.065,11.46,-43.7913564615977
0.065,11.47,-43.7114480812515
0.065,11.48,-43.6269385903521
0.065,11.49,-43.5377678859699
0.065,11.5,-43.4438653318345
0.065,11.51,-43.3451494088197
0.065,11.52,-43.2415273019165
0.065,11.53,-43.1328944194714
0.065,11.54,-43.0191338397141
0.065,11.55,-42.9001156787303
0.065,11.56,-42.7756963731124
0.065,11.57,-42.6457178694434
0.065,11.58,-42.5100067115711
0.065,11.59,-42.3683730152731
0.065,11.6,-42.2206093183536
0.065,11.61,-42.0664892924297
0.065,11.62,-41.9057663006239
0.065,11.63,-41.7381717830222
0.065,11.64,-41.5634134490111
0.065,11.65,-41.3811732524547
0.065,11.66,-41.1911051219676
0.065,11.67,-40.9928324142351
0.065,11.68,-40.7859450532861
0.065,11.69,-40.5699963126879
0.065,11.7,-40.3444991906638
0.065,11.71,-40.1089223198768
0.065,11.72,-39.8626853438681
0.065,11.73,-39.6051536805285
0.065,11.74,-39.3356325791709
0.065,11.75,-39.0533603612538
0.065,11.76,-38.7575007150175
0.065,11.77,-38.4471338905121
0.065,11.78,-38.1212466128107
0.065,11.79,-37.7787204965285
0.065,11.8,-37.4183187026836
0.065,11.81,-37.0386705277631
0.065,11.82,-36.6382535523727
0.065,11.83,-36.2153729004112
0.065,11.84,-35.7681370658722
0.065,11.85,-35.2944296489224
0.065,11.86,-34.7918762005095
0.065,11.87,-34.2578051987787
0.065,11.88,-33.6892019627891
0.065,11.89,-33.0826540392838
0.065,11.9,-32.4342862642481
0.065,11.91,-31.7396832880488
0.065,11.92,-30.9937968442124
0.065,11.93,-30.1908344191797
0.065,11.94,-29.3241252262378
0.065,11.95,-28.3859584893285
0.065,11.96,-27.3673880047131
0.065,11.97,-26.2579958069684
0.065,11.98,-25.0456066246234
0.065,11.99,-23.7159439043111
0.065,12,-22.2522179878788
0.07375,8,-49.7861573420565
0.07375,8.01,-49.3262899235146
0.07375,8.02,-48.8533562783064
0.07375,8.03,-48.3667399360512
0.07375,8.04,-47.8657876714591
0.07375,8.05,-47.3498070722624
0.07375,8.06,-46.8180639502602
0.07375,8.07,-46.269779589749
0.07375,8.08,-45.7041278287717
0.07375,8.09,-45.120231970247
0.07375,8.1,-44.517161522265
0.07375,8.11,-43.8939287697968
0.07375,8.12,-43.2494851839554
0.07375,8.13,-42.5827176799774
0.07375,8.14,-41.8924447415308
0.07375,8.15,-41.1774124371282
0.07375,8.16,-40.4362903646895
0.07375,8.17,-39.6676675731282
0.07375,8.18,-38.8700485257288
0.07375,8.19,-38.0418491896525
0.07375,8.2,-37.1813933598356
0.07375,8.21,-36.2869093545756
0.07375,8.22,-35.3565272550744
0.07375,8.23,-34.3882769029274
0.07375,8.24,-33.3800869189038
0.07375,8.25,-32.3297850639894
0.07375,8.26,-31.2351003301149
0.07375,8.27,-30.0936672232776
0.07375,8.28,-28.9030327853036
0.07375,8.29,-27.6606669906253
0.07375,8.3,-26.3639772480674
0.07375,8.31,-25.0103278295541
0.07375,8.32,-23.5970651299878
0.07375,8.33,-22.1215497239218
0.07375,8.34,-20.5811962094685
0.07375,8.35,-18.9735217977311
0.07375,8.36,-17.2962044915223
0.07375,8.37,-15.5471514703202
0.07375,8.38,-13.7245779267388
0.07375,8.39,-11.8270960513525
0.07375,8.4,-9.85381311224589
0.07375,8.41,-7.80443661267863
0.07375,8.42,-5.67938335000614
0.07375,8.43,-3.47988789441804
0.07375,8.44,-1.20810465906788
0.07375,8.45,1.13280349924514
0.07375,8.46,3.53859811868439
0.07375,8.47,6.00392772357471
0.07375,8.48,8.52232802022084
0.07375,8.49,11.0862661004217
0.07375,8.5,13.6872325541772
0.07375,8.51,16.3158819467983
0.07375,8.52,18.962218033088
0.07375,8.53,21.6158158534664
0.07375,8.54,24.266069085643
0.07375,8.55,26.9024483071639
0.07375,8.56,29.5147546175658
0.07375,8.57,32.0933535843618
0.07375,8.58,34.6293766242544
0.07375,8.59,37.1148803414105
0.07375,8.6,39.5429584621178
0.07375,8.61,41.9078052144013
0.07375,8.62,44.2047327545532
0.07375,8.63,46.4301481522201
0.07375,8.64,48.5814973233365
0.07375,8.65,50.6571841460738
0.07375,8.66,52.6564729515492
0.07375,8.67,54.5793818718231
0.07375,8.68,56.4265733990626
0.07375,8.69,58.199247187236
0.07375,8.7,59.8990387905481
0.07375,8.71,61.5279268049825
0.07375,8.72,63.0881498324681
0.07375,8.73,64.5821338504246
0.07375,8.74,66.0124299413241
0.07375,8.75,67.3816618970269
0.07375,8.76,68.6924829309521
0.07375,8.77,69.9475405747964
0.07375,8.78,71.1494487742318
0.07375,8.79,72.3007662024176
0.07375,8.8,73.4039798588253
0.07375,8.81,74.461493096284
0.07375,8.82,75.4756173083135
0.07375,8.83,76.4485666024995
0.07375,8.84,77.382454877691
0.07375,8.85,78.2792948092847
0.07375,8.86,79.1409983256295
0.07375,8.87,79.9693782286391
0.07375,8.88,80.7661506728861
0.07375,8.89,81.5329382700858
0.07375,8.9,82.2712736306017
0.07375,8.91,82.982603191228
0.07375,8.92,83.6682912098383
0.07375,8.93,84.3296238334069
0.07375,8.94,84.9678131671501
0.07375,8.95,85.5840012898589
0.07375,8.96,86.1792641744893
0.07375,8.97,86.7546154843357
0.07375,8.98,87.3110102240798
0.07375,8.99,87.8493482321123
0.07375,9,88.3704775060908
0.07375,9.01,88.8751973580202
0.07375,9.02,89.3642613984602
0.07375,9.03,89.8383803519652
0.07375,9.04,90.2982247077176
0.07375,9.05,90.7444272106538
0.07375,9.06,91.1775851993052
0.07375,9.07,91.5982627971875
0.07375,9.08,92.006992964923
0.07375,9.09,92.4042794204407
0.07375,9.1,92.7905984346171
0.07375,9.11,93.1664005096179
0.07375,9.12,93.5321119470269
0.07375,9.13,93.8881363126043
0.07375,9.14,94.2348558042475
0.07375,9.15,94.5726325294149
0.07375,9.16,94.9018096979606
0.07375,9.17,95.2227127360013
0.07375,9.18,95.5356503261089
0.07375,9.19,95.8409153788076
0.07375,9.2,96.1387859400378
0.07375,9.21,96.4295260389503
0.07375,9.22,96.7133864801082
0.07375,9.23,96.9906055838948
0.07375,9.24,97.2614098786704
0.07375,9.25,97.5260147479746
0.07375,9.26,97.784625035837
0.07375,9.27,98.0374356130434
0.07375,9.28,98.2846319070087
0.07375,9.29,98.5263903977022
0.07375,9.3,98.7628790819134
0.07375,9.31,98.9942579079653
0.07375,9.32,99.2206791828397
0.07375,9.33,99.4422879535276
0.07375,9.34,99.6592223642933
0.07375,9.35,99.8716139914115
0.07375,9.36,100.079588156824
0.07375,9.37,100.283264222057
0.07375,9.38,100.482755863641
0.07375,9.39,100.678171331179
0.07375,9.4,100.869613689136
0.07375,9.41,101.057181043327
0.07375,9.42,101.240966753014
0.07375,9.43,101.421059629469
0.07375,9.44,101.597544121762
0.07375,9.45,101.770500490506
0.07375,9.46,101.940004970228
0.07375,9.47,102.106129920959
0.07375,9.48,102.26894396963
0.07375,9.49,102.428512141773
0.07375,9.5,102.584895984017
0.07375,9.51,102.7381536778
0.07375,9.52,102.888340144711
0.07375,9.53,103.035507143808
0.07375,9.54,103.179703361249
0.07375,9.55,103.320974492529
0.07375,9.56,103.459363317582
0.07375,9.57,103.594909768997
0.07375,9.58,103.727650993529
0.07375,9.59,103.85762140711
0.07375,9.6,103.984852743494
0.07375,9.61,104.109374096663
0.07375,9.62,104.231211957098
0.07375,9.63,104.350390241984
0.07375,9.64,104.466930319394
0.07375,9.65,104.580851026479
0.07375,9.66,104.692168681651
0.07375,9.67,104.800897090733
0.07375,9.68,104.90704754702
0.07375,9.69,105.01062882515
0.07375,9.7,105.111647168689
0.07375,9.71,105.210106271262
0.07375,9.72,105.306007251068
0.07375,9.73,105.399348618558
0.07375,9.74,105.49012623703
0.07375,9.75,105.578333275853
0.07375,9.76,105.66396015599
0.07375,9.77,105.746994487451
0.07375,9.78,105.827420998265
0.07375,9.79,105.905221454472
0.07375,9.8,105.980374570637
0.07375,9.81,106.052855910283
0.07375,9.82,106.12263777558
0.07375,9.83,106.189689085568
0.07375,9.84,106.253975242107
0.07375,9.85,106.315457982624
0.07375,9.86,106.374095218696
0.07375,9.87,106.429840859323
0.07375,9.88,106.482644617669
0.07375,9.89,106.532451799913
0.07375,9.9,106.579203074666
0.07375,9.91,106.622834221288
0.07375,9.92,106.663275855205
0.07375,9.93,106.70045312816
0.07375,9.94,106.734285401038
0.07375,9.95,106.764685886711
0.07375,9.96,106.791561259971
0.07375,9.97,106.814811231341
0.07375,9.98,106.834328081145
0.07375,9.99,106.84999614977
0.07375,10,106.861691279609
0.07375,10.01,106.869280203562
0.07375,10.02,106.872619874367
0.07375,10.03,106.871556728313
0.07375,10.04,106.865925876041
0.07375,10.05,106.855550212206
0.07375,10.06,106.840239434682
0.07375,10.07,106.819788962757
0.07375,10.08,106.793978742306
0.07375,10.09,106.762571924306
0.07375,10.1,106.725313401115
0.07375,10.11,106.681928182729
0.07375,10.12,106.632119592668
0.07375,10.13,106.575567260116
0.07375,10.14,106.511924881464
0.07375,10.15,106.440817720304
0.07375,10.16,106.361839810115
0.07375,10.17,106.274550818257
0.07375,10.18,106.178472523223
0.07375,10.19,106.073084849245
0.07375,10.2,105.957821393041
0.07375,10.21,105.832064366406
0.07375,10.22,105.695138865181
0.07375,10.23,105.546306359336
0.07375,10.24,105.384757280012
0.07375,10.25,105.209602556637
0.07375,10.26,105.019863929778
0.07375,10.27,104.814462832235
0.07375,10.28,104.592207590575
0.07375,10.29,104.351778650274
0.07375,10.3,104.091711467691
0.07375,10.31,103.810376638739
0.07375,10.32,103.505956743845
0.07375,10.33,103.17641927768
0.07375,10.34,102.819484894677
0.07375,10.35,102.432590031252
0.07375,10.36,102.012842754343
0.07375,10.37,101.556970423397
0.07375,10.38,101.061257426368
0.07375,10.39,100.521470844362
0.07375,10.4,99.9327713958946
0.07375,10.41,99.2896063895085
0.07375,10.42,98.5855806505488
0.07375,10.43,97.8133004642003
0.07375,10.44,96.9641844816026
0.07375,10.45,96.0282342818988
0.07375,10.46,94.9937559349344
0.07375,10.47,93.8470226356045
0.07375,10.48,92.5718676505084
0.07375,10.49,91.1491971739865
0.07375,10.5,89.5564156584969
0.07375,10.51,87.7667643970666
0.07375,10.52,85.7485923004609
0.07375,10.53,83.4646140256722
0.07375,10.54,80.871278068675
0.07375,10.55,77.9184857898168
0.07375,10.56,74.5500960574793
0.07375,10.57,70.7059365888387
0.07375,10.58,66.3263945643793
0.07375,10.59,61.3609174529964
0.07375,10.6,55.7814976302067
0.07375,10.61,49.600695939431
0.07375,10.62,42.8903243075163
0.07375,10.63,35.7923518094668
0.07375,10.64,28.5117172762321
0.07375,10.65,21.2866148878622
0.07375,10.66,14.3448428792683
0.07375,10.67,7.86465037526748
0.07375,10.68,1.95521998330074
0.07375,10.69,-3.34104264927674
0.07375,10.7,-8.03271813072241
0.07375,10.71,-12.1602199632876
0.07375,10.72,-15.7796378858478
0.07375,10.73,-18.9516289121126
0.07375,10.74,-21.7348889251566
0.07375,10.75,-24.1829072853082
0.07375,10.76,-26.3427620319538
0.07375,10.77,-28.2550477515199
0.07375,10.78,-29.9543586919155
0.07375,10.79,-31.4699927130675
0.07375,10.8,-32.8266975444717
0.07375,10.81,-34.045372836136
0.07375,10.82,-35.1436924972884
0.07375,10.83,-36.1366384153901
0.07375,10.84,-37.036949456918
0.07375,10.85,-37.8554950100905
0.07375,10.86,-38.6015838543671
0.07375,10.87,-39.283218823895
0.07375,10.88,-39.9073066327778
0.07375,10.89,-40.479830891203
0.07375,10.9,-41.0059950237701
0.07375,10.91,-41.4903406165563
0.07375,10.92,-41.9368457036361
0.07375,10.93,-42.3490066563698
0.07375,10.94,-42.7299066434749
0.07375,10.95,-43.0822730650919
0.07375,10.96,-43.4085259079259
0.07375,10.97,-43.7108186013354
0.07375,10.98,-43.9910726589719
0.07375,10.99,-44.2510071531167
0.07375,11,-44.4921638777276
0.07375,11.01,-44.7159289020523
0.07375,11.02,-44.9235510921048
0.07375,11.03,-45.1161580763692
0.07375,11.04,-45.294770050089
0.07375,11.05,-45.460311745686
0.07375,11.06,-45.6136228422331
0.07375,11.07,-45.7554670421237
0.07375,11.08,-45.8865400062574
0.07375,11.09,-46.0074763086665
0.07375,11.1,-46.1188555463587
0.07375,11.11,-46.221207719272
0.07375,11.12,-46.315017977838
0.07375,11.13,-46.4007308211361
0.07375,11.14,-46.4787538164296
0.07375,11.15,-46.5494609006592
0.07375,11.16,-46.6131953158421
0.07375,11.17,-46.6702722230352
0.07375,11.18,-46.7209810333471
0.07375,11.19,-46.7655874892303
0.07375,11.2,-46.8043355248096
0.07375,11.21,-46.8374489301762
0.07375,11.22,-46.8651328413008
0.07375,11.23,-46.8875750743932
0.07375,11.24,-46.9049473211148
0.07375,11.25,-46.9174062189435
0.07375,11.26,-46.9250943091726
0.07375,11.27,-46.9281408934373
0.07375,11.28,-46.926662798287
0.07375,11.29,-46.9207650560993
0.07375,11.3,-46.9105415095791
0.07375,11.31,-46.8960753461362
0.07375,11.32,-46.8774395676028
0.07375,11.33,-46.854697400012
0.07375,11.34,-46.8279026474825
0.07375,11.35,-46.7970999936558
0.07375,11.36,-46.7623252535815
0.07375,11.37,-46.7236055784359
0.07375,11.38,-46.6809596149946
0.07375,11.39,-46.6343976213365
0.07375,11.4,-46.5839215398335
0.07375,11.41,-46.5295250280853
0.07375,11.42,-46.4711934480546
0.07375,11.43,-46.408903813275
0.07375,11.44,-46.3426246936038
0.07375,11.45,-46.2723160765973
0.07375,11.46,-46.1979291841675
0.07375,11.47,-46.1194062427452
0.07375,11.48,-46.0366802047066
0.07375,11.49,-45.949674418333
0.07375,11.5,-45.8583022430245
0.07375,11.51,-45.7624666059003
0.07375,11.52,-45.6620594952628
0.07375,11.53,-45.5569613856809
0.07375,11.54,-45.4470405886203
0.07375,11.55,-45.3321525216456
0.07375,11.56,-45.2121388881667
0.07375,11.57,-45.08682675853
0.07375,11.58,-44.9560275418954
0.07375,11.59,-44.8195358368047
0.07375,11.6,-44.6771281465594
0.07375,11.61,-44.528561443478
0.07375,11.62,-44.3735715637275
0.07375,11.63,-44.2118714116661
0.07375,11.64,-44.0431489494293
0.07375,11.65,-43.8670649437333
0.07375,11.66,-43.6832504374973
0.07375,11.67,-43.491303908722
0.07375,11.68,-43.2907880730017
0.07375,11.69,-43.0812262788782
0.07375,11.7,-42.8620984367626
0.07375,11.71,-42.6328364120658
0.07375,11.72,-42.3928188011643
0.07375,11.73,-42.1413649944737
0.07375,11.74,-41.8777284136814
0.07375,11.75,-41.6010887894791
0.07375,11.76,-41.3105433211581
0.07375,11.77,-41.0050965291593
0.07375,11.78,-40.6836485749295
0.07375,11.79,-40.3449817776332
0.07375,11.8,-39.9877450024829
0.07375,11.81,-39.6104355282166
0.07375,11.82,-39.2113779184638
0.07375,11.83,-38.7886993194533
0.07375,11.84,-38.3403004797528
0.07375,11.85,-37.8638216301017
0.07375,11.86,-37.3566021648896
0.07375,11.87,-36.8156328211981
0.07375,11.88,-36.2374987436729
0.07375,11.89,-35.6183114376849
0.07375,11.9,-34.9536271292315
0.07375,11.91,-34.2383484434918
0.07375,11.92,-33.4666055562286
0.07375,11.93,-32.6316120314012
0.07375,11.94,-31.7254894025998
0.07375,11.95,-30.7390531614629
0.07375,11.96,-29.6615511844608
0.07375,11.97,-28.4803438208893
0.07375,11.98,-27.1805130661201
0.07375,11.99,-25.7443868934864
0.07375,12,-24.1509648404446
0.0825,8,-47.6356223631934
0.0825,8.01,-47.1279737356826
0.0825,8.02,-46.6058295033994
0.0825,8.03,-46.0685293437178
0.0825,8.04,-45.5153762388723
0.0825,8.05,-44.9456343721607
0.0825,8.06,-44.3585269356703
0.0825,8.07,-43.7532338553989
0.0825,8.08,-43.1288894425797
0.0825,8.09,-42.4845799836666
0.0825,8.1,-41.819341285933
0.0825,8.11,-41.1321562011305
0.0825,8.12,-40.4219521563451
0.0825,8.13,-39.6875987292824
0.0825,8.14,-38.9279053149467
0.0825,8.15,-38.1416189423227
0.0825,8.16,-37.3274223135155
0.0825,8.17,-36.4839321541471
0.0825,8.18,-35.6096979829749
0.0825,8.19,-34.7032014309849
0.0825,8.2,-33.7628562658833
0.0825,8.21,-32.7870093071606
0.0825,8.22,-31.7739424497808
0.0825,8.23,-30.7218760509273
0.0825,8.24,-29.6289739736581
0.0825,8.25,-28.4933506229211
0.0825,8.26,-27.313080351713
0.0825,8.27,-26.0862096559891
0.0825,8.28,-24.8107726130657
0.0825,8.29,-23.4848100452577
0.0825,8.3,-22.1063929024975
0.0825,8.31,-20.6736503472163
