"lumped_element_capacitance [pF]","Freq [GHz]","ang_deg(S(2,1)) [deg]"
0.065,8,-5.64346464042295
0.065,8.01,-5.637637730117
0.065,8.02,-5.63191555601005
0.065,8.03,-5.62629679712378
0.065,8.04,-5.62078018564085
0.065,8.05,-5.61536450557473
0.065,8.06,-5.61004859147362
0.065,8.07,-5.60483132715915
0.065,8.08,-5.59971164449864
0.065,8.09,-5.59468852220999
0.065,8.1,-5.58976098469923
0.065,8.11,-5.58492810093049
0.065,8.12,-5.58018898332618
0.065,8.13,-5.57554278669911
0.065,8.14,-5.57098870721442
0.065,8.15,-5.56652598138124
0.065,8.16,-5.5621538850733
0.065,8.17,-5.55787173257938
0.065,8.18,-5.55367887568086
0.065,8.19,-5.5495747027582
0.065,8.2,-5.5455586379236
0.065,8.21,-5.54163014018236
0.065,8.22,-5.53778870261923
0.065,8.23,-5.53403385161158
0.065,8.24,-5.53036514606831
0.065,8.25,-5.52678217669431
0.065,8.26,-5.52328456527959
0.065,8.27,-5.51987196401319
0.065,8.28,-5.5165440548216
0.065,8.29,-5.51330054873053
0.065,8.3,-5.51014118525129
0.065,8.31,-5.50706573178947
0.065,8.32,-5.50407398307717
0.065,8.33,-5.50116576062802
0.065,8.34,-5.49834091221462
0.065,8.35,-5.49559931136734
0.065,8.36,-5.49294085689679
0.065,8.37,-5.49036547243576
0.065,8.38,-5.48787310600424
0.065,8.39,-5.4854637295954
0.065,8.4,-5.48313733878161
0.065,8.41,-5.48089395234198
0.065,8.42,-5.47873361191107
0.065,8.43,-5.47665638164636
0.065,8.44,-5.47466234791742
0.065,8.45,-5.4727516190149
0.065,8.46,-5.47092432487874
0.065,8.47,-5.4691806168468
0.065,8.48,-5.46752066742341
0.065,8.49,-5.46594467006625
0.065,8.5,-5.46445283899459
0.065,8.51,-5.46304540901525
0.065,8.52,-5.46172263536849
0.065,8.53,-5.46048479359354
0.065,8.54,-5.45933217941246
0.065,8.55,-5.45826510863415
0.065,8.56,-5.45728391707648
0.065,8.57,-5.45638896050877
0.065,8.58,-5.45558061461183
0.065,8.59,-5.45485927495904
0.065,8.6,-5.45422535701472
0.065,8.61,-5.45367929615342
0.065,8.62,-5.45322154769695
0.065,8.63,-5.45285258697258
0.065,8.64,-5.45257290938901
0.065,8.65,-5.45238303053279
0.065,8.66,-5.45228348628464
0.065,8.67,-5.45227483295537
0.065,8.68,-5.45235764744088
0.065,8.69,-5.45253252740013
