"Freq [GHz]","RadiatedPower []"
8,0.00395772728435401
8.5,0.00463315083101431
8.75,0.0053418664767988
9,0.00657490781297469
9.25,0.00944115621676949
9.5,0.0232427386296297
9.625,0.0465828831376463
9.75,0.0666375123660003
9.875,0.108462126574634
10,0.208430107312573
10.25,0.0254471759506024
10.5,0.0072143663152808
10.75,0.00394487709604041
11,0.00276783856629056
11.5,0.00202352574208306
12,0.00202744846477629
