"lumped_element_capacitance [pF]","Freq [GHz]","ang_deg(S(2,1)) [deg]"
0.065,9,-3.65955061053982
0.065,9.04081632653061,-3.73217095566298
0.065,9.08163265306122,-3.80832915893673
0.065,9.12244897959184,-3.88825911745367
0.065,9.16326530612245,-3.97222314109669
0.065,9.20408163265306,-4.06050901349686
0.065,9.24489795918367,-4.15314691989095
0.065,9.28571428571428,-4.25038216883948
0.065,9.3265306122449,-4.35328130982644
0.065,9.36734693877551,-4.46187533863014
0.065,9.40816326530612,-4.57654080633556
0.065,9.44897959183674,-4.6977520275643
0.065,9.48979591836735,-4.82603304119062
0.065,9.53061224489796,-4.96195931314956
0.065,9.57142857142857,-5.10616330848931
0.065,9.61224489795918,-5.25934038555624
0.065,9.65306122448979,-5.4222546212124
0.065,9.69387755102041,-5.5957442723921
0.065,9.73469387755102,-5.78072634127297
0.065,9.77551020408163,-5.97819932004693
0.065,9.81632653061225,-6.18924257507265
0.065,9.85714285714286,-6.4150098250146
0.065,9.89795918367347,-6.65671247679419
0.065,9.93877551020408,-6.91558565389323
0.065,9.97959183673469,-7.19282448854721
0.065,10.0204081632653,-7.48946851960574
0.065,10.0612244897959,-7.80619440580963
0.065,10.1020408163265,-8.14295475635769
0.065,10.1428571428571,-8.4984885319044
0.065,10.1836734693878,-8.87142369233281
0.065,10.2244897959184,-9.28307252145909
0.065,10.265306122449,-9.8050114173689
0.065,10.3061224489796,-10.2723077621957
0.065,10.3469387755102,-10.6786511417246
0.065,10.3877551020408,-11.0416091099918
0.065,10.4285714285714,-11.3192862215154
0.065,10.469387755102,-11.4399420190944
0.065,10.5102040816327,-11.2990013722878
0.065,10.5510204081633,-10.7558220567412
0.065,10.5918367346939,-9.64562037923067
0.065,10.6326530612245,-7.82486604792628
0.065,10.6734693877551,-5.26100363484158
0.065,10.7142857142857,-2.13235538933021
0.065,10.7551020408163,1.16177342047862
0.065,10.7959183673469,4.15118928887399
0.065,10.8367346938776,6.50486017625113
0.065,10.8775510204082,8.12362755924546
0.065,10.9183673469388,9.08526289498381
0.065,10.9591836734694,9.54185858671552
0.065,11,9.64711518430756
0.0722916666666667,9,-3.83784268651291
0.0722916666666667,9.04081632653061,-3.92059576445057
0.0722916666666667,9.08163265306122,-4.00766706482863
0.0722916666666667,9.12244897959184,-4.09937343175135
0.0722916666666667,9.16326530612245,-4.1960782534915
0.0722916666666667,9.20408163265306,-4.29819778757809
0.0722916666666667,9.24489795918367,-4.40569364827379
0.0722916666666667,9.28571428571428,-4.51865113006834
0.0722916666666667,9.3265306122449,-4.63898768962635
0.0722916666666667,9.36734693877551,-4.76663606074228
0.0722916666666667,9.40816326530612,-4.90207704003221
0.0722916666666667,9.44897959183674,-5.0459713652249
0.0722916666666667,9.48979591836735,-5.19906025184738
0.0722916666666667,9.53061224489796,-5.36216391602503
0.0722916666666667,9.57142857142857,-5.53618924417411
0.0722916666666667,9.61224489795918,-5.72213822801759
0.0722916666666667,9.65306122448979,-5.92111578911321
0.0722916666666667,9.69387755102041,-6.13433594837239
0.0722916666666667,9.73469387755102,-6.36312469882029
0.0722916666666667,9.77551020408163,-6.60891686185755
0.0722916666666667,9.81632653061225,-6.87324246789648
0.0722916666666667,9.85714285714286,-7.15769538167481
0.0722916666666667,9.89795918367347,-7.46387226618508
0.0722916666666667,9.93877551020408,-7.79326230958104
0.0722916666666667,9.97959183673469,-8.14705530815823
0.0722916666666667,10.0204081632653,-8.52581437303428
0.0722916666666667,10.0612244897959,-8.92892679603397
0.0722916666666667,10.1020408163265,-9.35372080993833
0.0722916666666667,10.1428571428571,-9.79435405391445
0.0722916666666667,10.1836734693878,-10.2434988987366
0.0722916666666667,10.2244897959184,-10.7256190377456
0.0722916666666667,10.265306122449,-11.302885400781
0.0722916666666667,10.3061224489796,-11.6844008297813
0.0722916666666667,10.3469387755102,-11.8439750048733
0.0722916666666667,10.3877551020408,-11.7285156717872
0.0722916666666667,10.4285714285714,-11.1763337634562
0.0722916666666667,10.469387755102,-9.98621218554498
0.0722916666666667,10.5102040816327,-7.98021671482853
0.0722916666666667,10.5510204081633,-5.12363353003091
0.0722916666666667,10.5918367346939,-1.65727806262474
0.0722916666666667,10.6326530612245,1.90737736665236
0.0722916666666667,10.6734693877551,5.01507824464595
0.0722916666666667,10.7142857142857,7.33304798042009
0.0722916666666667,10.7551020408163,8.81972232599279
0.0722916666666667,10.7959183673469,9.6157954764336
0.0722916666666667,10.8367346938776,9.91382766644996
0.0722916666666667,10.8775510204082,9.88506978139953
0.0722916666666667,10.9183673469388,9.65736929657122
0.0722916666666667,10.9591836734694,9.31782538874175
0.0722916666666667,11,8.92269718715173
0.0795833333333333,9,-4.03279080496966
0.0795833333333333,9.04081632653061,-4.12744323198942
0.0795833333333333,9.08163265306122,-4.22740065237639
0.0795833333333333,9.12244897959184,-4.33309175762365
0.0795833333333333,9.16326530612245,-4.44501532531415
0.0795833333333333,9.20408163265306,-4.56375267545546
0.0795833333333333,9.24489795918367,-4.68916235840553
0.0795833333333333,9.28571428571428,-4.82124204783508
0.0795833333333333,9.3265306122449,-4.96296789577457
0.0795833333333333,9.36734693877551,-5.11413843992519
0.0795833333333333,9.40816326530612,-5.27540411130349
0.0795833333333333,9.44897959183674,-5.44769913817159
0.0795833333333333,9.48979591836735,-5.63208078863503
0.0795833333333333,9.53061224489796,-5.82972545535426
0.0795833333333333,9.57142857142857,-6.04193896813221
0.0795833333333333,9.61224489795918,-6.27016683341279
0.0795833333333333,9.65306122448979,-6.51600109458955
0.0795833333333333,9.69387755102041,-6.78118040269403
0.0795833333333333,9.73469387755102,-7.06757779748227
0.0795833333333333,9.77551020408163,-7.37716706336453
0.0795833333333333,9.81632653061225,-7.71195254069262
0.0795833333333333,9.85714285714286,-8.0738374139105
0.0795833333333333,9.89795918367347,-8.4643892100672
0.0795833333333333,9.93877551020408,-8.88443437476605
0.0795833333333333,9.97959183673469,-9.33336998263428
0.0795833333333333,10.0204081632653,-9.8080118668112
0.0795833333333333,10.0612244897959,-10.3007038879057
0.0795833333333333,10.1020408163265,-10.7963596118686
0.0795833333333333,10.1428571428571,-11.2686539653133
0.0795833333333333,10.1836734693878,-11.6811581946458
0.0795833333333333,10.2244897959184,-12.0346766196468
0.0795833333333333,10.265306122449,-12.2823200815113
0.0795833333333333,10.3061224489796,-11.8416236186567
0.0795833333333333,10.3469387755102,-10.6529582420635
0.0795833333333333,10.3877551020408,-8.57335573856125
0.0795833333333333,10.4285714285714,-5.52098393740273
0.0795833333333333,10.469387755102,-1.74956234841545
0.0795833333333333,10.5102040816327,2.13236391267075
0.0795833333333333,10.5510204081633,5.45841493005709
0.0795833333333333,10.5918367346939,7.85598693291842
0.0795833333333333,10.6326530612245,9.31520967867277
0.0795833333333333,10.6734693877551,10.0291241562808
0.0795833333333333,10.7142857142857,10.2299007768993
0.0795833333333333,10.7551020408163,10.1098945974084
0.0795833333333333,10.7959183673469,9.80507217726717
0.0795833333333333,10.8367346938776,9.40378694074712
0.0795833333333333,10.8775510204082,8.9605750457681
0.0795833333333333,10.9183673469388,8.50782404933522
0.0795833333333333,10.9591836734694,8.06403686393301
0.0795833333333333,11,7.63926745894226
0.086875,9,-4.24677662656505
0.086875,9.04081632653061,-4.35547327708621
0.086875,9.08163265306122,-4.47073043941878
0.086875,9.12244897959184,-4.5931287652678
0.086875,9.16326530612245,-4.72335011190689
0.086875,9.20408163265306,-4.86219115001625
0.086875,9.24489795918367,-5.00936299449141
0.086875,9.28571428571428,-5.16489465633828
0.086875,9.3265306122449,-5.33309104774388
0.086875,9.36734693877551,-5.51357427067167
0.086875,9.40816326530612,-5.70726269999063
0.086875,9.44897959183674,-5.91549088871191
0.086875,9.48979591836735,-6.13977463156339
0.086875,9.53061224489796,-6.38180414587917
0.086875,9.57142857142857,-6.64345443126852
0.086875,9.61224489795918,-6.92679000838974
0.086875,9.65306122448979,-7.23405533837313
0.086875,9.69387755102041,-7.56763910612732
0.086875,9.73469387755102,-7.92999254699915
0.086875,9.77551020408163,-8.32346820474696
0.086875,9.81632653061225,-8.75002217969443
0.086875,9.85714285714286,-9.21068349547566
0.086875,9.89795918367347,-9.70462796643083
0.086875,9.93877551020408,-10.2275846038524
0.086875,9.97959183673469,-10.7691295943204
0.086875,10.0204081632653,-11.3081760948369
0.086875,10.0612244897959,-11.8057161149383
0.086875,10.1020408163265,-12.194038762662
0.086875,10.1428571428571,-12.3642000602363
0.086875,10.1836734693878,-12.1673768489872
0.086875,10.2244897959184,-11.4823648727471
0.086875,10.265306122449,-9.88801067747455
0.086875,10.3061224489796,-6.67911927396409
0.086875,10.3469387755102,-2.57355793931239
0.086875,10.3877551020408,1.72118860831439
0.086875,10.4285714285714,5.42725818329762
0.086875,10.469387755102,8.07403385448583
0.086875,10.5102040816327,9.64272271081405
0.086875,10.5510204081633,10.3699419736205
0.086875,10.5918367346939,10.5345182010959
0.086875,10.6326530612245,10.3600419958177
0.086875,10.6734693877551,9.99902727418821
0.086875,10.7142857142857,9.54704579909914
0.086875,10.7551020408163,9.06092188772938
0.086875,10.7959183673469,8.57304137824096
0.086875,10.8367346938776,8.10098217969456
0.086875,10.8775510204082,7.6535683349948
0.086875,10.9183673469388,7.23455402095864
0.086875,10.9591836734694,6.84483358166073
0.086875,11,6.48377071536028
0.0941666666666667,9,-4.48264213155001
0.0941666666666667,9.04081632653061,-4.60800490476512
0.0941666666666667,9.08163265306122,-4.74153610702035
0.0941666666666667,9.12244897959184,-4.88402438810045
0.0941666666666667,9.16326530612245,-5.03640142064941
0.0941666666666667,9.20408163265306,-5.1997487930391
0.0941666666666667,9.24489795918367,-5.37357207305298
0.0941666666666667,9.28571428571428,-5.55812282685171
0.0941666666666667,9.3265306122449,-5.75938822679564
0.0941666666666667,9.36734693877551,-5.97676298110669
0.0941666666666667,9.40816326530612,-6.21157819313593
0.0941666666666667,9.44897959183674,-6.46574863086447
0.0941666666666667,9.48979591836735,-6.74144416046083
0.0941666666666667,9.53061224489796,-7.04107289825336
0.0941666666666667,9.57142857142857,-7.36727535739847
0.0941666666666667,9.61224489795918,-7.72289024877651
0.0941666666666667,9.65306122448979,-8.1108646503045
0.0941666666666667,9.69387755102041,-8.53406475375762
0.0941666666666667,9.73469387755102,-8.99491110394973
0.0941666666666667,9.77551020408163,-9.49470573967161
0.0941666666666667,9.81632653061225,-10.0324207644735
0.0941666666666667,9.85714285714286,-10.6025508041921
