"lumped_element_capacitance [pF]","Freq [GHz]","ang_deg(S(2,1)) [deg]"
0.065,8,-5.64346373339665
0.065,8.01,-5.63763682537177
0.065,8.02,-5.63191465353173
0.065,8.03,-5.62629589689822
0.065,8.04,-5.62077928765389
0.065,8.05,-5.61536360981252
0.065,8.06,-5.61004769792244
0.065,8.07,-5.60483043580546
0.065,8.08,-5.59971075532891
0.065,8.09,-5.59468763521092
0.065,8.1,-5.58976009985772
0.065,8.11,-5.5849272182334
0.065,8.12,-5.58018810276066
0.065,8.13,-5.57554190825241
0.065,8.14,-5.57098783087392
0.065,8.15,-5.56652510713441
0.065,8.16,-5.5621530129077
0.065,8.17,-5.55787086248274
0.065,8.18,-5.55367800764108
0.065,8.19,-5.54957383676321
0.065,8.2,-5.54555777396158
0.065,8.21,-5.54162927824156
0.065,8.22,-5.53778784268786
0.065,8.23,-5.53403299367806
0.065,8.24,-5.53036429012125
0.065,8.25,-5.52678132272242
0.065,8.26,-5.52328371327148
0.065,8.27,-5.51987111395793
0.065,8.28,-5.51654320670799
0.065,8.29,-5.5132997025478
0.065,8.3,-5.51014034098863
0.065,8.31,-5.5070648894361
0.065,8.32,-5.50407314262251
0.065,8.33,-5.5011649220616
0.065,8.34,-5.4983400755259
0.065,8.35,-5.49559847654617
0.065,8.36,-5.49294002393283
0.065,8.37,-5.4903646413189
0.065,8.38,-5.48787227672455
0.065,8.39,-5.4854629021429
0.065,8.4,-5.48313651314638
0.065,8.41,-5.4808931285143
0.065,8.42,-5.47873278988124
0.065,8.43,-5.47665556140467
0.065,8.44,-5.47466152945452
0.065,8.45,-5.47275080232148
0.065,8.46,-5.47092350994528
0.065,8.47,-5.46917980366404
0.065,8.48,-5.46751985598226
0.065,8.49,-5.4659438603576
0.065,8.5,-5.46445203100934
0.065,8.51,-5.46304460274455
0.065,8.52,-5.46172183080351
0.065,8.53,-5.46048399072538
0.065,8.54,-5.45933137823249
0.065,8.55,-5.45826430913374
0.065,8.56,-5.45728311924707
0.065,8.57,-5.45638816434177
0.065,8.58,-5.45557982009894
0.065,8.59,-5.45485848209199
0.065,8.6,-5.45422456578504
0.065,8.61,-5.45367850655304
0.065,8.62,-5.45322075971768
0.065,8.63,-5.45285180060633
0.065,8.64,-5.45257212462776
0.065,8.65,-5.45238224736872
0.065,8.66,-5.45228270470981
0.065,8.67,-5.45227405296191
0.065,8.68,-5.4523568690212
0.065,8.69,-5.45253175054644
0.065,8.7,-5.45279931615455
0.065,8.71,-5.45316020563837
0.065,8.72,-5.45361508020479
0.065,8.73,-5.45416462273369
0.065,8.74,-5.45480953805895
0.065,8.75,-5.45555055327083
0.065,8.76,-5.45638841804034
0.065,8.77,-5.45732390496611
0.065,8.78,-5.45835780994474
0.065,8.79,-5.45949095256279
0.065,8.8,-5.46072417651432
0.065,8.81,-5.4620583500411
0.065,8.82,-5.46349436639807
0.065,8.83,-5.46503314434407
0.065,8.84,-5.4666756286573
0.065,8.85,-5.46842279067871
0.065,8.86,-5.47027562888049
0.065,8.87,-5.47223516946337
0.065,8.88,-5.47430246698162
0.065,8.89,-5.47647860499717
0.065,8.9,-5.47876469676347
0.065,8.91,-5.4811618859401
0.065,8.92,-5.48367134733844
0.065,8.93,-5.48629428770009
0.065,8.94,-5.48903194650869
0.065,8.95,-5.4918855968354
