"Freq [GHz]","RadiatedPower []"
9,0.0357259246755393
9.04081632653061,0.0411991728967783
9.08163265306122,0.0479010517038621
9.12244897959184,0.0561980037039896
9.16326530612245,0.0665882073254642
9.20408163265306,0.0797133839198028
9.24489795918367,0.0959045187285609
9.28571428571428,0.116570379063096
9.3265306122449,0.144034086102783
9.36734693877551,0.178990593981503
9.40816326530612,0.222064577559904
9.44897959183674,0.2715360062081
9.48979591836735,0.320670918489584
9.53061224489796,0.356607940084711
9.57142857142857,0.36571054224724
9.61224489795918,0.344366126845593
9.65306122448979,0.302319037488753
9.69387755102041,0.253716394276564
9.73469387755102,0.208314846140093
9.77551020408163,0.170049559832154
9.81632653061225,0.139313148306107
9.85714285714286,0.115088728262707
9.89795918367347,0.0960646652925856
9.93877551020408,0.0810587489689563
9.97959183673469,0.0691237273595468
10.0204081632653,0.0595361211195426
10.0612244897959,0.0517537958047172
10.1020408163265,0.0453730220656329
10.1428571428571,0.0400941241252583
10.1836734693878,0.0356972799463413
10.2244897959184,0.0320089330298126
10.265306122449,0.0287615118531462
10.3061224489796,0.0259389858279984
10.3469387755102,0.0235576944098943
10.3877551020408,0.0215024526360338
10.4285714285714,0.0197079037752418
10.469387755102,0.0181299786243747
10.5102040816327,0.0167347128622335
10.5510204081633,0.0154947910963241
10.5918367346939,0.0143878645566224
10.6326530612245,0.0133954638549044
10.6734693877551,0.0125022104911171
10.7142857142857,0.0116952170819779
10.7551020408163,0.0109636207035487
10.7959183673469,0.0102982156427711
10.8367346938776,0.00969116128991097
10.8775510204082,0.00913574757587427
10.9183673469388,0.00862620567660081
10.9591836734694,0.008157551976454
11,0.00772545452964196
