"lumped_element_capacitance [pF]","Freq [GHz]","mag(S(2,1)) []"
0.065,8,0.99942683952175
0.065,8.01,0.999429321570549
0.065,8.02,0.999431642866667
0.065,8.03,0.999433804563321
0.065,8.04,0.999435807779298
0.065,8.05,0.999437653598873
0.065,8.06,0.999439343071706
0.065,8.07,0.999440877212748
0.065,8.08,0.999442257002166
0.065,8.09,0.999443483385262
0.065,8.1,0.999444557272378
0.065,8.11,0.999445479538861
0.065,8.12,0.999446251024942
0.065,8.13,0.999446872535708
0.065,8.14,0.999447344841006
0.065,8.15,0.999447668675382
0.065,8.16,0.999447844738007
0.065,8.17,0.999447873692614
0.065,8.18,0.999447756167415
0.065,8.19,0.99944749275503
0.065,8.2,0.999447084012409
0.065,8.21,0.999446530460743
0.065,8.22,0.999445832585394
0.065,8.23,0.999444990835787
0.065,8.24,0.999444005625318
0.065,8.25,0.999442877331258
0.065,8.26,0.999441606294644
0.065,8.27,0.999440192820152
0.065,8.28,0.99943863717598
0.065,8.29,0.999436939593726
0.065,8.3,0.999435100268222
0.065,8.31,0.999433119357414
0.065,8.32,0.999430996982172
0.065,8.33,0.999428733226139
0.065,8.34,0.99942632813554
0.065,8.35,0.999423781718978
0.065,8.36,0.999421093947234
0.065,8.37,0.999418264753053
0.065,8.38,0.999415294030889
0.065,8.39,0.999412181636669
0.065,8.4,0.999408927387518
0.065,8.41,0.999405531061471
0.065,8.42,0.999401992397195
0.065,8.43,0.999398311093641
0.065,8.44,0.999394486809727
0.065,8.45,0.999390519163983
0.065,8.46,0.999386407734156
0.065,8.47,0.99938215205683
0.065,8.48,0.999377751627007
0.065,8.49,0.999373205897651
0.065,8.5,0.999368514279235
0.065,8.51,0.999363676139246
0.065,8.52,0.999358690801671
0.065,8.53,0.999353557546449
0.065,8.54,0.999348275608913
0.065,8.55,0.999342844179175
0.065,8.56,0.99933726240151
0.065,8.57,0.999331529373695
0.065,8.58,0.999325644146313
0.065,8.59,0.999319605722036
0.065,8.6,0.999313413054856
0.065,8.61,0.999307065049308
0.065,8.62,0.999300560559608
0.065,8.63,0.999293898388819
0.065,8.64,0.999287077287916
0.065,8.65,0.999280095954846
0.065,8.66,0.999272953033521
0.065,8.67,0.999265647112795
0.065,8.68,0.999258176725367
0.065,8.69,0.999250540346652
0.065,8.7,0.999242736393593
0.065,8.71,0.999234763223434
0.065,8.72,0.999226619132414
0.065,8.73,0.999218302354438
0.065,8.74,0.99920981105967
0.065,8.75,0.999201143353058
0.065,8.76,0.99919229727282
0.065,8.77,0.999183270788839
0.065,8.78,0.999174061801019
0.065,8.79,0.999164668137535
0.065,8.8,0.999155087553044
0.065,8.81,0.999145317726795
0.065,8.82,0.999135356260672
0.065,8.83,0.999125200677152
0.065,8.84,0.999114848417174
0.065,8.85,0.999104296837915
0.065,8.86,0.999093543210486
0.065,8.87,0.999082584717524
0.065,8.88,0.999071418450662
0.065,8.89,0.999060041407937
0.065,8.9,0.99904845049104
0.065,8.91,0.99903664250249
0.065,8.92,0.99902461414266
0.065,8.93,0.999012362006698
0.065,8.94,0.998999882581304
0.065,8.95,0.998987172241365
0.065,8.96,0.998974227246481
0.065,8.97,0.998961043737297
0.065,8.98,0.998947617731711
0.065,8.99,0.998933945120903
0.065,9,0.998920021665211
0.065,9.01,0.998905842989803
0.065,9.02,0.998891404580188
0.065,9.03,0.998876701777525
0.065,9.04,0.998861729773712
0.065,9.05,0.998846483606294
0.065,9.06,0.998830958153112
0.065,9.07,0.998815148126735
0.065,9.08,0.998799048068661
0.065,9.09,0.998782652343223
0.065,9.1,0.998765955131265
0.065,9.11,0.998748950423502
0.065,9.12,0.998731632013606
0.065,9.13,0.99871399349097
0.065,9.14,0.998696028233136
0.065,9.15,0.998677729397894
0.065,9.16,0.998659089915012
0.065,9.17,0.998640102477579
0.065,9.18,0.998620759532965
0.065,9.19,0.998601053273335
0.065,9.2,0.998580975625736
0.065,9.21,0.998560518241724
0.065,9.22,0.998539672486479
0.065,9.23,0.998518429427415
0.065,9.24,0.998496779822248
0.065,9.25,0.998474714106477
0.065,9.26,0.998452222380259
0.065,9.27,0.998429294394663
0.065,9.28,0.998405919537217
0.065,9.29,0.998382086816767
0.065,9.3,0.998357784847569
0.065,9.31,0.998333001832585
0.065,9.32,0.998307725545939
0.065,9.33,0.99828194331449
0.065,9.34,0.998255641998429
0.065,9.35,0.998228807970931
0.065,9.36,0.998201427096699
0.065,9.37,0.998173484709419
0.065,9.38,0.998144965588011
0.065,9.39,0.998115853931635
0.065,9.4,0.998086133333345
0.065,9.41,0.99805578675234
0.065,9.42,0.998024796484698
0.065,9.43,0.997993144132526
0.065,9.44,0.997960810571388
